iter	MAPE	RMSE
349	0.3515823953	759663.7326
350	0.3512943811	759347.15
351	0.3510864559	759111.5763
352	0.3509974179	758554.686
353	0.350706474	758365.6803
354	0.3505614171	757994.4834
355	0.3503935245	757740.2325
356	0.3499610086	757209.3446
357	0.3498307737	756934.5388
358	0.3497573524	756062.0786
359	0.3496978234	755637.6014
360	0.3495528933	755242.1779
361	0.3491843899	754639.2675
362	0.3487420031	754028.2913
363	0.3482491522	753741.9913
364	0.3482143988	753220.2247
365	0.3480511048	752884.3218
366	0.347693074	752500.2013
367	0.3472187106	752170.82
368	0.347091998	751980.4304
369	0.3469871291	751433.0814
370	0.3468742194	751163.301
371	0.3466251933	750911.7622
372	0.3463270109	750294.3211
373	0.3459168602	749878.9743
374	0.3457081099	749513.2478
375	0.34565766	748709.4188
376	0.3455356229	748542.763
377	0.3451522755	748294.2252
378	0.3449137785	747827.0582
379	0.3447949523	747195.61
380	0.3444449226	746687.7767
381	0.3443283138	746186.1816
382	0.3438914028	745691.8301
383	0.3433291676	745273.4834
384	0.3431732474	745136.1281
385	0.3430624147	744812.0299
386	0.3430690434	744638.9396
387	0.342850218	744424.8336
388	0.3428431528	744058.4153
389	0.3426216887	743626.3703
390	0.3422918962	743305.2776
391	0.3419639951	742970.0843
392	0.3418673267	742595.3387
393	0.3418057645	742336.2878
394	0.3417220325	741946.6027
395	0.3414675334	741544.4192
396	0.3412383966	741109.5958
397	0.3412984308	740680.0393
398	0.3411044638	740377.5762
399	0.3409583552	740173.254
400	0.3409423934	739936.752
401	0.3406309732	739578.859
402	0.3405308277	739290.854
403	0.3403215698	739063.7802
404	0.3403245739	738448.5826
405	0.3401230809	738260.7407
406	0.3399954548	738023.0774
407	0.3395374905	737688.6767
408	0.3394658306	737530.8641
409	0.3393764839	737255.6065
410	0.3393408378	737077.2474
411	0.3392393071	736914.8378
412	0.3391389974	736256.1271
413	0.3390056989	735830.2002
414	0.3389162759	735452.3972
415	0.3386142363	735077.6693
416	0.3382045697	734731.6233
417	0.3377123221	733953.7672
418	0.3376406844	733626.6759
419	0.3375165646	733364.8883
420	0.3373488439	733186.4323
421	0.3371322413	732994.1801
422	0.3370349684	731983.8951
423	0.3369112322	731840.8789
424	0.3367417678	731575.2364
425	0.3367098889	730538.7629
426	0.336661785	730356.6254
427	0.336315582	730006.0935
428	0.3361600003	729661.9649
429	0.3361480902	729462.4419
430	0.3359446849	728561.5126
431	0.3356484414	728211.4132
432	0.3356082329	727920.6928
433	0.3354610342	727414.1439
434	0.3354371457	727262.1277
435	0.3350992492	727035.948
436	0.3350465906	726662.2361
437	0.3348031992	726252.0219
438	0.3347955708	726055.055
439	0.3347853663	725895.8041
440	0.3347065129	725694.3534
441	0.3343885391	725194.0858
442	0.3343289227	724943.198
443	0.3340819479	724664.809
444	0.3337838489	724337.4032
445	0.3336949878	724128.3902
446	0.3336907031	723719.5568
447	0.3333875575	723421.8718
448	0.3329450786	722882.6564
449	0.332761376	721992.5567
450	0.33254674	721771.8565
451	0.3324092775	721640.5816
452	0.3322702939	720747.8337
453	0.3322554185	720496.6695
454	0.3321340386	720284.3901
455	0.3317658723	719891.8088
456	0.3315192802	719564.2668
457	0.3312692801	719315.5442
458	0.3310392395	719136.7838
459	0.3309077429	718766.8406
460	0.3308139905	718585.5845
461	0.3306994322	718459.3607
462	0.3305403827	718242.5087
463	0.3304775031	717961.8162
464	0.3303623529	717800.8777
465	0.330264313	717528.034
466	0.3299492289	717278.8372
467	0.3297245077	717022.9239
468	0.3294886935	716683.1788
469	0.3292003331	716434.9703
470	0.3289700929	715958.5173
471	0.3289751815	715763.1838
472	0.3288528441	715588.4447
473	0.3289807357	715365.5285
474	0.3285201867	714834.9607
475	0.3283704334	714589.2655
476	0.3282102037	714368.6041
477	0.328036954	714214.721
478	0.3278993087	713855.4371
479	0.3277644886	712850.6763
480	0.3275397589	712724.195
481	0.3274223072	712401.8867
482	0.3270668678	712102.7275
483	0.3268964929	712017.9081
484	0.3266568062	711713.9613
485	0.326471323	711439.2493
486	0.3261576081	710957.9161
487	0.3261236763	710510.7159
488	0.3259433612	710383.8595
489	0.3258031101	710221.5296
490	0.3257369467	709979.6957
491	0.3257233347	709877.2994
492	0.3256745288	709604.5097
493	0.3255812217	709430.9874
494	0.3254366982	709186.811
495	0.3253432376	708986.3373
496	0.3250854513	708579.5516
497	0.324542222	708418.8858
498	0.3244116997	708044.827
499	0.3242989424	707787.4257
500	0.3241519015	707502.9114
501	0.3241859956	707241.0397
502	0.323857153	706887.1644
503	0.3238066942	706678.1185
504	0.3234267929	706425.7819
505	0.3233880824	706166.4694
506	0.3232073145	705916.5731
507	0.3228609281	705303.7748
508	0.3227085797	705079.3645
509	0.3225599533	704928.5614
510	0.322524611	704684.4294
511	0.3224423519	704477.7755
512	0.3224256579	704299.3084
513	0.3223954927	704105.9791
514	0.3222760938	703716.767
515	0.3222166743	703605.1834
516	0.3221186073	703224.971
517	0.3219990347	703023.5348
518	0.3219054581	702814.9855
519	0.3215617184	702240.434
520	0.3212272247	701683.3146
521	0.321109971	701474.6228
522	0.3208874564	701263.6606
523	0.3206468796	700963.3087
524	0.3204065295	700740.7741
525	0.3202950761	700600.1113
526	0.3202904649	700324.7776
527	0.3202038048	700196.2821
528	0.3202231045	699989.8051
529	0.3202590753	699795.8609
530	0.3200990818	699589.8625
531	0.3200828995	699354.402
532	0.3200738417	699013.9988
533	0.3200618089	698826.5167
534	0.3199200298	698650.0586
535	0.319881795	698274.3353
536	0.3198716302	698051.6305
537	0.3199347911	697864.6268
538	0.3199050338	697806.0688
539	0.3197982612	696972.0907
540	0.319655581	696649.3127
541	0.3196185283	696345.1392
542	0.3195990946	695760.4696
543	0.319469236	695545.396
544	0.3193695317	695444.24
545	0.3193506849	694724.9279
546	0.3193372166	694338.8182
547	0.3192314918	694039.4679
548	0.3191538934	693620.3884
549	0.3191139011	693319.242
550	0.3188486111	693066.9529
551	0.3187419431	692934.7831
552	0.3186068935	692003.366
553	0.3184333225	691597.8356
554	0.318316845	691456.699
555	0.3181389541	691197.0379
556	0.3181394233	690364.6776
557	0.3178238806	690115.3206
558	0.317716292	689909.9575
559	0.3176887872	689698.3781
560	0.3176838825	689316.788
561	0.3175902416	689005.2995
562	0.3175516106	688698.9764
563	0.3174782907	688390.1485
564	0.3172847471	688075.2792
565	0.3171989834	687704.0598
566	0.3171297556	687471.2058
567	0.3171165715	686668.1117
568	0.3171128759	686190.2914
569	0.3169440638	686049.5153
570	0.316867248	685828.1395
571	0.3167882859	685613.1534
572	0.3167099213	685292.007
573	0.3164732196	685002.3914
574	0.3165084111	684786.6687
575	0.3162982217	684524.3464
576	0.3163076786	684300.114
577	0.3161583934	684126.778
578	0.3160727198	683492.519
579	0.3159729	683217.5816
580	0.315816387	683005.8473
581	0.3158146465	682702.332
582	0.3156581136	682419.2057
583	0.3155577224	682138.7362
584	0.3156177422	681972.9843
585	0.3153332737	681500.9857
586	0.315367925	681057.3364
587	0.3152981728	680840.5403
588	0.3152947163	680162.5368
589	0.3152211664	679542.2685
590	0.3152261608	679250.0476
591	0.3151607791	679068.2414
592	0.3149988299	678882.8506
593	0.3147813417	678582.9314
594	0.3146706388	678369.3216
595	0.3146122507	678013.1041
596	0.3144049891	677693.6816
597	0.3143243405	677337.6474
598	0.3143759729	677139.4808
599	0.314374454	676516.8649
600	0.314360103	676241.1115
601	0.3143118718	676042.3845
602	0.3142182263	675693.1719
603	0.3142063304	675505.4248
604	0.3141814857	675224.7547
605	0.3141787953	674663.4831
606	0.3140746885	674391.0127
607	0.3139603264	674123.1659
608	0.3139583488	673800.6506
609	0.3139446529	673501.6379
610	0.3136871471	673068.067
611	0.3136142049	672935.197
612	0.3134665156	672756.4515
613	0.3133127808	672510.8059
614	0.3132079909	672262.2782
615	0.3129271645	671960.8012
616	0.3127621635	671743.8664
617	0.3126921981	671420.3755
618	0.3126871048	670842.2334
619	0.3126780896	670179.6809
620	0.3126440381	669784.211
621	0.3124503078	669558.8095
622	0.3124163908	669084.7713
623	0.3122055128	668868.8731
624	0.3119449703	668579.0617
625	0.311984085	668406.1467
626	0.3119212585	668184.4248
627	0.311865869	667996.5157
628	0.3118762539	667761.3407
629	0.3118956267	667537.5632
630	0.3116949015	667367.0347
631	0.3116829446	667073.1277
632	0.3114972774	666827.3465
633	0.3114868256	666413.9198
634	0.3114271901	666092.1666
635	0.311374131	665962.6619
636	0.3113736327	665430.6901
637	0.3112583287	665165.3771
638	0.31120268	664984.8324
639	0.3111769648	664878.1113
640	0.3110183614	664775.3208
641	0.3109638598	664652.9943
642	0.3108716643	664411.4691
643	0.3107904163	664305.3396
644	0.3107283772	664061.6266
645	0.3106685187	663867.8966
646	0.3106565466	663567.5155
647	0.3106271489	663318.9824
648	0.310616801	663049.3092
649	0.3105862063	662618.7723
650	0.3105628454	662518.8952
651	0.3104552586	662242.9314
652	0.3103572324	662016.8722
653	0.3102395986	661798.0717
654	0.310247781	661617.6175
655	0.3101200681	661380.8004
656	0.3101128784	661120.1507
657	0.3099793344	660958.9803
658	0.3098514951	660849.0495
659	0.3098387178	660580.7675
660	0.3098340249	660330.8514
661	0.3098057062	660232.9895
662	0.3097062501	660116.2947
663	0.3094568891	659832.4452
664	0.3094290148	659422.0207
665	0.3092442343	659284.3302
666	0.3091208352	659059.5312
667	0.3090765513	658786.3562
668	0.3089645097	658653.7947
669	0.3089573393	658214.3971
670	0.3089462467	657958.3507
671	0.3088485819	657755.461
672	0.3087113998	657601.3389
673	0.3085552909	657495.1135
674	0.3084698484	657279.8891
675	0.3084149915	657098.6262
676	0.3084538846	656942.0597
677	0.3084262609	656551.5916
678	0.3082951679	656318.7621
679	0.3082699273	656108.9045
680	0.3080499832	655874.8014
681	0.3079643502	655718.8126
682	0.3079703642	655631.9399
683	0.3079197936	655370.1269
684	0.3078275627	655023.0741
685	0.3077856171	654773.1262
686	0.3077401653	654593.9779
687	0.307590176	654434.1217
688	0.3075513656	654182.9235
689	0.3074938541	654006.5998
690	0.3074684393	653868.4057
691	0.3073714483	653631.433
692	0.3072876493	653475.1417
693	0.3072594204	653018.5255
694	0.3071496996	652827.2993
695	0.3071123315	652585.1321
696	0.3070563542	652477.3352
697	0.3070131292	652276.7624
698	0.3069344037	652144.1655
699	0.3068449452	652036.3368
700	0.3066874446	651814.6658
701	0.3066650119	651573.6229
702	0.3064300467	651425.7982
703	0.3064296007	651158.9577
704	0.306429905	651061.2298
705	0.3064223855	650600.21
706	0.306273826	650456.686
707	0.3061423586	650315.6689
708	0.3061239026	650084.0052
709	0.3059962405	649947.5849
710	0.305886963	649763.9428
711	0.3057833746	649530.2681
712	0.3057212956	649302.749
713	0.3057489667	649153.6059
714	0.3056928826	649025.8072
715	0.3055855613	648847.7899
716	0.3055952897	648605.9582
717	0.305481943	648461.4989
718	0.3054112339	648295.0836
719	0.3053024686	648134.8309
720	0.3052797841	647994.0961
721	0.3052740993	647542.1861
722	0.3051859778	647406.0093
723	0.3050702506	647146.2018
724	0.3050642542	646745.9824
725	0.3050225987	646527.0508
726	0.3049960914	646216.0727
727	0.3049152924	645681.3376
728	0.3048663681	645412.8607
729	0.3048415665	645333.5656
730	0.3047164427	645130.5943
731	0.304648277	644930.3966
732	0.3046462632	644836.5965
733	0.3046093526	644675.4986
734	0.3045421392	644483.6058
735	0.3044386047	644272.1442
736	0.3044645544	644128.195
737	0.3044429064	644054.185
738	0.3044776255	643864.7852
739	0.30430331	643688.1614
740	0.304203515	643485.1357
741	0.3041227465	643414.1017
742	0.3039506357	643282.3244
743	0.3038547886	643083.8257
744	0.3037882366	642930.4999
745	0.3035796518	642658.1572
746	0.3035547707	642568.3287
747	0.3034909621	642443.4175
748	0.3034097053	641880.8769
749	0.3032762518	641654.9078
750	0.303246652	641416.8198
751	0.303194517	641271.1773
752	0.3031704429	641144.8208
753	0.3030338477	641005.2559
754	0.3029773722	640851.0226
755	0.3028870352	640656.741
756	0.3027532549	640466.41
757	0.3026627064	640324.1336
758	0.3025533518	640081.1608
759	0.3024590468	639975.6805
