iter	Passed	Remaining
1339	18072	49363
1340	18087	49352
1341	18100	49337
1342	18114	49326
1343	18128	49313
1344	18142	49301
1345	18155	49287
1346	18169	49273
1347	18182	49260
1348	18197	49250
1349	18211	49237
1350	18223	49221
1351	18236	49206
1352	18246	49181
1353	18254	49154
1354	18264	49131
1355	18274	49108
1356	18285	49088
1357	18297	49070
1358	18310	49056
1359	18322	49040
1360	18336	49026
1361	18350	49014
1362	18363	49001
1363	18376	48986
1364	18390	48972
1365	18403	48958
1366	18417	48947
1367	18431	48936
1368	18445	48922
1369	18458	48909
1370	18472	48896
1371	18487	48886
1372	18500	48872
1373	18513	48858
1374	18527	48845
1375	18540	48831
1376	18554	48819
1377	18568	48806
1378	18581	48792
1379	18595	48778
1380	18609	48767
1381	18622	48752
1382	18635	48738
1383	18649	48724
1384	18662	48711
1385	18677	48701
1386	18690	48686
1387	18704	48673
1388	18717	48659
1389	18730	48645
1390	18744	48632
1391	18758	48620
1392	18771	48606
1393	18783	48590
1394	18797	48577
1395	18811	48565
1396	18825	48553
1397	18839	48541
1398	18853	48529
1399	18867	48517
1400	18880	48502
1401	18893	48487
1402	18907	48474
1403	18921	48462
1404	18935	48449
1405	18948	48435
1406	18962	48422
1407	18975	48409
1408	18988	48395
1409	19002	48381
1410	19015	48367
1411	19028	48353
1412	19042	48339
1413	19055	48326
1414	19068	48311
1415	19081	48297
1416	19094	48282
1417	19108	48269
1418	19122	48257
1419	19135	48244
1420	19150	48232
1421	19164	48220
1422	19177	48207
1423	19191	48195
1424	19206	48185
1425	19218	48168
1426	19232	48155
1427	19245	48141
1428	19259	48128
1429	19272	48113
1430	19286	48101
1431	19298	48083
1432	19307	48059
1433	19318	48040
1434	19331	48025
1435	19344	48011
1436	19357	47997
1437	19371	47984
1438	19385	47971
1439	19399	47959
1440	19412	47944
1441	19425	47930
1442	19438	47917
1443	19452	47903
1444	19465	47888
1445	19478	47874
1446	19492	47862
1447	19505	47848
1448	19519	47835
1449	19533	47823
1450	19547	47811
1451	19561	47799
1452	19575	47786
1453	19588	47772
1454	19603	47763
1455	19617	47749
1456	19630	47735
1457	19643	47721
1458	19656	47707
1459	19670	47693
1460	19683	47680
1461	19698	47669
1462	19711	47656
1463	19725	47642
1464	19738	47628
1465	19752	47616
1466	19766	47603
1467	19780	47591
1468	19795	47581
1469	19810	47571
1470	19824	47559
1471	19836	47542
1472	19850	47529
1473	19864	47517
1474	19877	47503
1475	19890	47489
1476	19903	47475
1477	19917	47461
1478	19930	47447
1479	19944	47435
1480	19958	47422
1481	19971	47408
1482	19984	47395
1483	19998	47382
1484	20013	47372
1485	20026	47358
1486	20040	47346
1487	20054	47331
1488	20067	47318
1489	20080	47304
1490	20094	47291
1491	20108	47279
1492	20122	47266
1493	20135	47253
1494	20149	47239
1495	20162	47225
1496	20175	47211
1497	20189	47199
1498	20201	47181
1499	20214	47167
1500	20227	47151
1501	20240	47137
1502	20254	47125
1503	20267	47111
1504	20281	47099
1505	20294	47084
1506	20308	47071
1507	20322	47058
1508	20338	47051
1509	20351	47038
1510	20364	47024
1511	20379	47011
1512	20393	46999
1513	20406	46985
1514	20419	46971
1515	20432	46958
1516	20446	46945
1517	20460	46932
1518	20474	46920
1519	20488	46907
1520	20501	46893
1521	20515	46880
1522	20528	46866
1523	20542	46854
1524	20555	46839
1525	20568	46825
1526	20584	46816
1527	20597	46802
1528	20611	46789
1529	20624	46775
1530	20638	46763
1531	20652	46750
1532	20665	46736
1533	20679	46723
1534	20693	46711
1535	20706	46698
1536	20720	46684
1537	20733	46671
1538	20747	46658
1539	20760	46644
1540	20774	46631
1541	20788	46619
1542	20803	46607
1543	20817	46596
1544	20831	46583
1545	20845	46571
1546	20859	46558
1547	20872	46545
1548	20885	46531
1549	20899	46517
1550	20912	46504
1551	20926	46490
1552	20940	46478
1553	20953	46465
1554	20967	46453
1555	20985	46448
1556	21000	46439
1557	21016	46431
1558	21030	46418
1559	21043	46403
1560	21056	46388
1561	21070	46376
1562	21084	46364
1563	21098	46352
1564	21111	46338
1565	21125	46325
1566	21139	46312
1567	21153	46299
1568	21168	46290
1569	21181	46276
1570	21192	46256
1571	21202	46236
1572	21214	46218
1573	21226	46201
1574	21239	46188
1575	21252	46173
1576	21266	46160
1577	21280	46148
1578	21294	46136
1579	21307	46121
1580	21321	46109
1581	21335	46096
1582	21349	46083
1583	21364	46074
1584	21379	46062
1585	21390	46044
1586	21401	46026
1587	21411	46005
1588	21424	45991
1589	21437	45975
1590	21450	45961
1591	21464	45949
1592	21478	45935
1593	21491	45922
1594	21505	45908
1595	21518	45894
1596	21531	45881
1597	21545	45868
1598	21559	45856
1599	21573	45843
1600	21586	45829
1601	21600	45817
1602	21614	45803
